# 1
b	+5.617	-25.217	+29.015	+60578.000
d	+9.050	-36.295	+10.800	+21286.000
# 15
c	+2.217	+22.255	+15.917	+66426.000
d	-7.050	-45.655	-29.150	+14183.000
# 17
a	+12.430	-13.230	-31.615	+90332.000
d	-3.350	-23.815	-20.950	+3980.000
# 37
c	-5.000	+22.255	+5.000	+21740.000
d	+10.250	-39.935	-13.550	+1084.000
# 121
c	-6.050	+33.695	+5.850	+31728.000
d	-14.850	-31.095	-29.150	+16549.000
# 138
c	+3.150	+24.335	+20.900	+16124.000
d	+2.100	-31.095	-33.850	+48819.000
# 131
b	-3.717	-5.817	+40.455	+70287.000
d	-10.950	-20.695	-19.550	+21265.000
# 82
c	+5.583	+26.415	+13.583	+62753.000
d	-4.270	-26.935	-15.930	+104496.000
# 171
a	-6.100	+12.450	-20.695	+53811.000
b	+8.800	-17.800	+25.895	+10241.000
# 185
a	-10.100	-4.500	-26.415	+58000.000
b	+4.950	-6.400	+44.095	+64123.000
# 296
a	-5.364	+1.879	-30.575	+90962.000
b	+4.450	-2.900	+43.575	+25955.000
# 295
a	-1.150	+7.350	-20.175	+1587.000
b	-0.333	-10.883	+46.695	+114112.000
# 256
c	-18.393	+22.775	-10.421	+93097.000
d	+17.650	-22.255	+5.500	+22415.000
# 356
a	+16.317	-5.083	-26.935	+42141.000
b	-17.183	+6.383	+30.575	+32198.000
# 368
c	-2.383	+28.495	-1.683	+31384.000
d	-2.350	-50.335	+7.200	+24257.000
# 426
a	-16.950	-13.250	-31.095	+1087.000
b	+15.050	+11.600	+23.295	+5796.000
# 333
c	-2.288	+50.855	+19.462	+96970.000
d	+0.050	-23.815	-7.550	+2984.000
# 429
c	-1.950	+43.575	+35.750	+53933.000
d	+6.600	-39.935	-23.000	+68799.000
# 484
a	-16.300	-1.350	-22.255	+28100.000
b	+17.800	-0.650	+25.895	+67158.000
# 510
c	+9.550	+26.415	+6.600	+32399.000
d	-8.900	-34.735	-29.450	+39755.000
# 506
a	-2.850	-12.250	-43.575	+3557.000
b	-17.050	+2.700	+41.495	+59445.000
# 410
c	+3.075	+24.855	+4.750	+116419.000
d	-4.950	-36.295	-5.350	+23332.000
# 427
a	+2.650	+2.517	-30.055	+55293.000
b	-2.121	-2.350	+24.855	+91401.000
# 492
a	+13.000	+10.100	-35.255	+8355.000
